Wavelength (nm),Power
360,0.002667992
360.807,0.002667992
361.864,0.00227518
362.922,0.002471586
363.979,0.00227518
365.036,0.00227518
366.094,0.002471586
367.151,0.002471586
368.208,0.00227518
369.265,0.002078775
370.323,0.002078775
371.38,0.001882369
372.437,0.00227518
373.494,0.002471586
374.552,0.002471586
375.609,0.002471586
376.666,0.002471586
377.723,0.002667992
378.781,0.002667992
379.838,0.002667992
380.895,0.003060803
381.953,0.003060803
383.01,0.003257209
384.067,0.003257209
385.124,0.003257209
386.182,0.003257209
387.239,0.003257209
388.296,0.003453615
389.353,0.003650021
390.411,0.005614079
391.468,0.005810484
392.525,0.012095469
393.583,0.011702658
394.64,0.012291875
395.697,0.011899063
396.754,0.008952977
397.812,0.00600689
398.869,0.00463205
399.926,0.00463205
400.983,0.003846427
402.041,0.003257209
403.098,0.003453615
404.155,0.003453615
405.212,0.003257209
406.27,0.002864398
407.327,0.003060803
408.384,0.003453615
409.442,0.003257209
410.499,0.003453615
411.556,0.003257209
412.613,0.003060803
413.671,0.003257209
414.728,0.003257209
415.785,0.003257209
416.842,0.003257209
417.9,0.003453615
418.957,0.003453615
420.014,0.003453615
421.071,0.003453615
422.129,0.004042832
423.186,0.004239238
424.243,0.007970948
425.301,0.014648744
426.358,0.015237961
427.415,0.014255933
428.472,0.014452338
429.53,0.015434367
430.587,0.005810484
431.644,0.006792513
432.701,0.003650021
433.759,0.003453615
434.816,0.002667992
435.873,0.003060803
436.93,0.002667992
437.988,0.002864398
439.045,0.002864398
440.102,0.002864398
441.16,0.002667992
442.217,0.002667992
443.274,0.002471586
444.331,0.002667992
445.389,0.002864398
446.446,0.002667992
447.503,0.002864398
448.56,0.002667992
449.618,0.002471586
450.675,0.002667992
451.732,0.002864398
452.79,0.002667992
453.847,0.002471586
454.904,0.002667992
455.961,0.002864398
457.019,0.002864398
458.076,0.002667992
459.133,0.002667992
460.19,0.002667992
461.248,0.002471586
462.305,0.00227518
463.362,0.002471586
464.419,0.002471586
465.477,0.002471586
466.534,0.002667992
467.591,0.002667992
468.649,0.002667992
469.706,0.002667992
470.763,0.002667992
471.82,0.002471586
472.878,0.002471586
473.935,0.002471586
474.992,0.002471586
476.049,0.002471586
477.107,0.00227518
478.164,0.002471586
479.221,0.00227518
480.278,0.002078775
481.336,0.002078775
482.393,0.002078775
483.45,0.002078775
484.508,0.002078775
485.565,0.002078775
486.622,0.002078775
487.679,0.001882369
488.737,0.001882369
489.794,0.001882369
490.851,0.001685963
491.908,0.001685963
492.966,0.001489557
494.023,0.001096746
495.08,0.001489557
496.138,0.001882369
497.195,0.001685963
498.252,0.001685963
499.309,0.001489557
500.367,0.001489557
501.424,0.001489557
502.481,0.001489557
503.538,0.001685963
504.596,0.001685963
505.653,0.001489557
506.71,0.001685963
507.767,0.001489557
508.825,0.001489557
509.882,0.001882369
510.939,0.001489557
511.997,0.001685963
513.054,0.001685963
514.111,0.001489557
515.168,0.001489557
516.226,0.001489557
517.283,0.001096746
518.34,0.001293151
519.397,0.001293151
520.455,0.001293151
521.512,0.001293151
522.569,0.001489557
523.626,0.001489557
524.684,0.001489557
525.741,0.001685963
526.798,0.001685963
527.856,0.001685963
528.913,0.001685963
529.97,0.001685963
531.027,0.00227518
532.085,0.001882369
533.142,0.004435644
534.199,0.013273904
535.256,0.029968395
536.314,0.029182771
537.371,0.030557612
538.428,0.027611525
539.486,0.010327817
540.543,0.010131411
541.6,0.002471586
542.657,0.002471586
543.715,0.001685963
544.772,0.002078775
545.829,0.001685963
546.886,0.001685963
547.944,0.001489557
549.001,0.001293151
550.058,0.001293151
551.115,0.001096746
552.173,0.001293151
553.23,0.001293151
554.287,0.001489557
555.345,0.001489557
556.402,0.001293151
557.459,0.001489557
558.516,0.001489557
559.574,0.001096746
560.631,0.001489557
561.688,0.001489557
562.745,0.00227518
563.803,0.002471586
564.86,0.005810484
565.917,0.00738173
566.974,0.007578136
568.032,0.007185325
569.089,0.004239238
570.146,0.002864398
571.204,0.001685963
572.261,0.001293151
573.318,0.001096746
574.375,0.001293151
575.433,0.001293151
576.49,0.001096746
577.547,0.001096746
578.604,0.001293151
579.662,0.001293151
580.719,0.001293151
581.776,0.001096746
582.834,0.00090034
583.891,0.001096746
584.948,0.001096746
586.005,0.001096746
587.063,0.00090034
588.12,0.00090034
589.177,0.001096746
590.234,0.001096746
591.292,0.00090034
592.349,0.00090034
593.406,0.001096746
594.463,0.001293151
595.521,0.001293151
596.578,0.001096746
597.635,0.001293151
598.693,0.001293151
599.75,0.001096746
600.807,0.001096746
601.864,0.000703934
602.922,0.00090034
603.979,0.00090034
605.036,0.001293151
606.093,0.001293151
607.151,0.001293151
608.208,0.001293151
609.265,0.001096746
610.322,0.001293151
611.38,0.001489557
612.437,0.001293151
613.494,0.001096746
614.552,0.00090034
615.609,0.00090034
616.666,0.00090034
617.723,0.00090034
618.781,0.000507528
619.838,0.00090034
620.895,0.00090034
621.952,0.00090034
623.01,0.00090034
624.067,0.00090034
625.124,0.000507528
626.182,0.00090034
627.239,0.001096746
628.296,0.001096746
629.353,0.00090034
630.411,0.000703934
631.468,0.000703934
632.525,0.00090034
633.582,0.001096746
634.64,0.00090034
635.697,0.000507528
636.754,0.000507528
637.811,0.00090034
638.869,0.00090034
639.926,0.00090034
640.983,0.000507528
642.041,0.000507528
643.098,0.000703934
644.155,0.00090034
645.212,0.000507528
646.27,0.000507528
647.327,0.000507528
648.384,0.000507528
649.441,0.000311123
650.499,0.000507528
651.556,0.00090034
652.613,0.00090034
653.67,0.00090034
654.728,0.000507528
655.785,0.000507528
656.842,0.000507528
657.9,0.000507528
658.957,0.000311123
660.014,0.000507528
661.071,0.00090034
662.129,0.000703934
663.186,0.000703934
664.243,0.000703934
665.3,0.000507528
666.358,0.000507528
667.415,0.000507528
668.472,0.000507528
669.53,0.000507528
670.587,0.000703934
671.644,0.00090034
672.701,0.000507528
673.759,0.000703934
674.816,0.00090034
675.873,0.00090034
676.93,0.001293151
677.988,0.001096746
679.045,0.00090034
680.102,0.00090034
681.159,0.000703934
682.217,0.000703934
683.274,0.000703934
684.331,0.000703934
685.389,0.000703934
686.446,0.000311123
687.503,0.00090034
688.56,0.001096746
689.618,0.001096746
690.675,0.000703934
691.732,0.000703934
692.789,0.00090034
693.847,0.000703934
694.904,0.000507528
695.961,0.000311123
697.018,0.00090034
698.076,0.00090034
699.133,0.000703934
700.19,0.000703934
701.248,0.000507528
702.305,0.00090034
703.362,0.00090034
704.419,0.001096746
705.477,0.001096746
706.534,0.000507528
707.591,0.000507528
708.648,0.000703934
709.706,0.000703934
710.763,0.000703934
711.82,0.000703934
712.878,0.000703934
713.935,0.000703934
714.992,0.001096746
716.049,0.00090034
717.107,0.00090034
718.164,0.000703934
719.221,0.000703934
720.278,0.000507528
721.336,0.000507528
722.393,0.000507528
723.45,0.00090034
724.507,0.000703934
725.565,0.000703934
726.622,0.000507528
727.679,0.000507528
728.737,0.001096746
729.794,0.000703934
730.851,0.000703934
731.908,0.000703934
732.966,0.000703934
734.023,0.000703934
735.08,0.000703934
736.137,0.000703934
737.195,0.00090034
738.252,0.001096746
739.309,0.001489557
740.366,0.001489557
741.424,0.001096746
742.481,0.001096746
743.538,0.001096746
744.596,0.000703934
745.653,0.00090034
746.71,0.001293151
747.767,0.001293151
748.825,0.001293151
749.882,0.001489557
750.939,0.00090034
751.996,0.00090034
753.054,0.001096746
754.111,0.00090034
755.168,0.000703934
756.225,0.000703934
757.283,0.000703934
758.34,0.00090034
759.397,0.00090034
760.455,0.000507528
761.512,0.00090034
762.569,0.00090034
763.626,0.00090034
764.684,0.001096746
765.741,0.000703934
766.798,0.000703934
767.855,0.00090034
768.913,0.000703934
769.97,0.000703934
771.027,0.00090034
772.085,0.001096746
773.142,0.00090034
774.199,0.001096746
775.256,0.001096746
776.314,0.001293151
777.371,0.001489557
778.428,0.001096746
779.485,0.00090034
780.543,0.001293151
781.6,0.001096746
782.657,0.001096746
783.714,0.001489557
784.772,0.001685963
785.829,0.001685963
786.886,0.001685963
787.944,0.001489557
789.001,0.001489557
790.058,0.001685963
791.115,0.001489557
792.173,0.001096746
793.23,0.001096746
794.287,0.001489557
795.344,0.001096746
796.402,0.00090034
797.459,0.001096746
798.516,0.001096746
799.573,0.001293151
800.631,0.001489557
801.688,0.001489557
802.745,0.001489557
803.803,0.001489557
804.86,0.001685963
805.917,0.001489557
806.974,0.001096746
808.032,0.001293151
809.089,0.001685963
810.146,0.001489557
811.203,0.001489557
812.261,0.001293151
813.318,0.001293151
814.375,0.001489557
815.433,0.001293151
816.49,0.001096746
817.547,0.001489557
818.604,0.001489557
819.662,0.001685963
820.719,0.001489557
821.776,0.001293151
822.833,0.001293151
823.891,0.001096746
824.948,0.001489557
826.005,0.001489557
827.062,0.001293151
828.12,0.001096746
829.177,0.001685963
830,0.001489557
